Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	230/742	1.189108e-09	6.705382e-06	0	0	1.655661e+00	3.402393e+01	ANKLE2;TRIO;TFRC;ARL6IP1;SCX;PREX1;RPS6KA3;LGALS1;RASSF2;AKT2;MYC;ARL6IP5;TRIM24;AKT1;SOX9;PRKCI;DAPK1;DAPK2;ACTN1;DAPK3;WDR73;ACTN4;BIN1;YME1L1;VDAC1;HPN;PIK3R1;KALRN;APH1A;NUAK2;FADD;ZBTB7A;NTSR1;CREBBP;CRADD;SIAH2;PLK1;OSGIN1;AZU1;PA2G4;PTK2;GADD45G;SETX;NET1;PPT1;ANP32E;TNFSF9;RNPS1;ANP32B;TP73;FANK1;ARF4;RARG;CD3E;SH3RF1;RNF157;DSTYK;SHH;ING3;SPTLC1;SMPD1;TRIM2;CTSH;CTSB;TOMM70;VAV3;PRMT2;TNFRSF12A;RIPK2;SPHK2;ANXA4;SPHK1;ANXA5;NME2;ANO6;DUSP9;SIRT1;PAX2;VAV1;NME1;RHOB;VAV2;PAX7;KCNMA1;ARHGEF4;ARHGEF1;ANGPTL4;GAS6;EEF1E1;SGK1;GSTP1;HTT;XIAP;FGD2;FGD3;FLNA;HS1BP3;PAK2;SPDEF;NPM1;MGMT;STAT1;DAB2IP;DKKL1;HIPK3;TJP1;RSL1D1;ITCH;RYBP;KRT18;WT1;AXL;STK17B;CTNNB1;TARDBP;MAD2L1;FOXA1;MTCH1;STEAP3;PARK7;UBE2Z;IGF1R;PIM1;PIM3;PHLDA3;TGM2;ATAD3A;PRLR;OLFM1;OBSCN;BRMS1;PPIF;DPEP1;PHIP;RAF1;SQSTM1;NOTCH2;ARHGEF26;VTCN1;PSEN1;FOXO3;NDRG1;RTN4;HSP90B1;SOCS2;GRK5;IRAK1;UBB;BAG3;ABL1;MAP3K20;BMF;NAE1;TFAP2A;MOAP1;TFAP2B;NIBAN2;CBX4;API5;RHBDD1;ASNS;TNFRSF10B;SMAD6;NFKB1;TNFRSF10D;KLHL20;BMP4;NFKBIA;GCLC;PROC;TP53I3;BCL3;BCL2L2;BCL2L1;ITGB1;RBM25;PPP1R13B;FLT3;FHL2;HSPB1;FLCN;PIDD1;CASP8;GRM4;PIP5KL1;GPER1;MCF2L;ERC1;CTNNBL1;RBM5;GRID2;HSP90AA1;PLEKHG2;UTP11;PLEKHG5;ARHGEF17;ARHGEF18;RPS3A;MMP9;YWHAZ;DNM2;LATS1;LATS2;TMBIM4;AKT1S1;TMEM219;TMBIM6;NAA38;ITGB3BP;SRC;TAF9;LRP8;THBS1;HSPD1;GNA13;TFPT;MAPK8;WNT11;BNIP1;PTK2B;VHL;SEMA4D;CFLAR;GOLPH3;TRIM35;BAX;ERCC5;NAA16;NOP53;BCAR1
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	330/1183	1.302349e-07	2.460539e-04	0	0	1.428524e+00	2.264772e+01	ATF1;APP;EHF;GABPB2;SCX;CCNC;RBPJ;ABRA;DCAF6;ELK4;RPS6KA3;SOX3;ZNF609;KAT5;ZMIZ1;MYC;ZMIZ2;ZC3H12A;CREB3L2;MYB;ZXDC;AKT1;DPF3;SOX9;BTRC;IER5;CDK5RAP2;ACVR1;ZNF281;MRTFB;HCFC1;RUNX1;NIF3L1;HOXB3;TFAM;ZNF711;ZFPM2;CLOCK;SKAP1;CASZ1;CDCA4;SUPT4H1;PRDM15;GATA4;GATA3;PIK3R1;PRDM11;HIF1A;SEC14L2;DHX36;HIVEP3;APOE;FADD;TP53BP1;RREB1;ZBED4;NFE2;CREBBP;AFAP1L2;JAG1;FZD2;JUP;SS18L1;NFATC2;TRIP4;NR1D2;NR2F2;INO80;SMARCA1;TRERF1;H1-3;PBX1;ELL3;ST18;H1-2;SMARCA4;FOSL2;SETX;MLLT10;ID2;CREBRF;TP73;FANK1;RET;ARF4;CSRNP2;RARG;FOXE1;HNF4G;TCF20;RSF1;MED16;LITAF;GLI3;GLI2;RPTOR;MED14;SHH;HEY1;MECOM;HYAL2;SPIN1;TEAD1;TEAD2;SS18;NCOA2;SREBF1;EDN1;PRMT2;RIPK2;NCOA3;TCF12;NME2;FOS;PARP9;SIRT1;SREBF2;SUPT3H;PAX2;RGMA;NR5A1;KAT2B;PLSCR1;TOX2;GAL;MED21;MTF2;TET3;RARA;PPARG;NCOA7;PLCB1;MPND;PPARD;YAP1;ASCL5;NFIX;KARS1;WAS;SERTAD3;SCAF8;RXRA;SERTAD1;SERTAD2;EPCAM;NSD1;HSF1;TBL1X;MEF2D;RTRAF;WWOX;NPM1;CDX2;STAT1;ATAD2;STAT3;DAB2IP;ZNF76;GRHL3;GRHL2;GRIN1;HIPK2;SKI;PER1;RYBP;STING1;WT1;NFIB;CTNNB1;F2RL1;AGRN;ZNF335;CD86;FOXA1;CCNT2;KDM1A;CRTC1;FHOD1;MYRFL;PARK7;YY1;CHCHD2;CDH1;POGZ;NFATC2IP;PITX2;HMGN1;MLIP;MAP2K2;DYRK1B;GTF2F1;NPAS4;LBHD1;ILF3;LMX1A;KAT6B;ZNF318;PHIP;LMX1B;SQSTM1;GLYR1;KMT2E;KMT2D;BLM;AKNA;KMT2A;KMT2B;MAZ;GLIS3;CREBL2;PSEN1;FOXO3;NPAS2;GLIS2;NPAS3;SLC9A1;RAI1;SBNO2;UBB;ZKSCAN3;ABL1;DVL2;E4F1;RPRD1B;TFAP2A;SMAD2;TFAP2B;AKIRIN2;TFAP2C;ZFHX3;BRPF1;NIBAN2;SMAD3;AUTS2;VDR;ZBTB16;ALYREF;ESRRG;POU2F2;BMP7;ESR1;NFKB1;BMP6;NFKB2;BMP5;SMAD7;DRAP1;BMP4;CDK9;NFKBIA;NR4A2;NR4A1;LHX3;BCL3;ZFP64;RFXAP;BMPR1B;OGT;FGFR2;NFE2L2;RNF187;CALCOCO1;BMPR2;THRB;BNC1;CHD8;AKAP8L;SIX1;ARRB1;NR2E3;LYL1;FLCN;DBP;SFR1;ZIC3;HJV;GPER1;CEP290;MYBL1;PELP1;KLF10;BCAS3;PPP1R12A;AXIN1;ARNT;VEZF1;ARID1A;KLF15;ZFP90;DNM2;PPM1A;DNAJC2;ELF3;TFDP2;ELF4;IRF8;MET;HDAC4;NFAT5;SMARCD2;KDM3A;NUFIP1;TAF9;LRP5;FOXK1;MLLT3;HDAC8;LRP6;CAND2;WNT11;ERBB4;NRIP1;VHL;TBX1;MLXIP;USP22;FOXJ3;TBX5;PML;ASXL1;KLF6;MEIS1;KLF5;KANSL3;NAA16;TAF6;SSBP2;PFKM;LPIN2;LPIN3
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	272/948	1.309030e-07	2.460539e-04	0	0	1.482071e+00	2.348906e+01	MYT1L;EHMT1;RBPJ;IKZF4;ELK4;RPS14;SOX3;KAT5;MYC;MYB;DPF3;SOX9;BTRC;SOX7;ZNF282;ZNF281;SOX13;EREG;HCFC1;RUNX1;EID2;ZFPM2;CLOCK;CGGBP1;L3MBTL1;ZNF391;CTR9;SUPT4H1;ZBTB1;GATA3;ZBTB5;PRDM11;ZNF25;ZBTB4;DEDD2;ZBTB2;MBTD1;ZNF706;ZNF703;ZBTB7B;ZNF148;ZBTB7A;RREB1;CREBBP;ZNF140;BCL11A;PLK1;SETDB2;IRF2BP2;NR1D2;NR2F2;PA2G4;PARP15;TRERF1;SMARCA4;ID2;ID3;GTF2IRD1;RCOR3;RBAK;RCOR1;VSX2;ZNF133;RARG;FOXE1;TCF25;OTUD7B;RSF1;PHF6;GLI3;GLI2;MECP2;SHH;HEY1;MECOM;UIMC1;CHMP1A;JARID2;PRMT6;EDN1;NCOA5;PRMT2;NOG;SIRT6;CBFA2T2;PARP9;SIRT1;ZHX1;CBFA2T3;SREBF2;PAX2;NCOR2;GCFC2;NCOR1;NFX1;MTF2;RARA;PPARG;GAS6;PLCB1;JDP2;VGLL4;PPARD;YAP1;NFIX;CIPC;ZNF3;FOXS1;RXRA;CUX1;NSD1;HSF1;FLNA;ZNF589;TBL1X;ZNF224;SPDEF;WWOX;PCGF6;CDX2;STAT1;USP9X;STAT3;DAB2IP;WWP1;ZNF79;PEX14;GATAD2A;SKI;PER2;PER1;WT1;ZNF219;CTNNB1;HDGF;ZNF337;GZF1;RIF1;KDM1A;PRDM6;WWC1;ANKRD33;NAB2;ATN1;YY1;ZFP36;PIAS4;TLE2;MLIP;TLE1;KDM2A;MSX2;ZFP69B;ARID5A;KCTD1;FOXP4;HIC1;FOXP1;SAP30;ZNF91;ILF3;BRMS1;PSPC1;KAT6B;ZNF318;ZNF550;DLX4;MAZ;GLIS3;PSEN1;FOXO3;GLIS2;SBNO2;UBB;NACC2;TPR;ZKSCAN3;ZNF669;E4F1;DMAP1;TFAP2A;SMAD2;TFAP2B;HSPA8;TFAP2C;ZFHX3;NIBAN2;UBE2I;CBX5;SMAD3;CBX4;VDR;ZBTB16;CAV1;PTCH1;FOXN3;BMP7;ESR1;NFKB1;BMP6;SMAD7;DRAP1;BMP4;EFNA1;NR4A2;GCLC;RIOX1;YEATS2;CNOT2;BCL3;MAFK;MXD1;FGFR2;ZNF891;KDM5C;THRB;CHD8;MIDEAS;FHL2;CHD3;NR2E3;FLCN;BCL7A;YWHAQ;VPS72;ZNF529;HJV;TRPS1;ZNF764;TGIF1;KLF10;KLF12;RBM15;DNMT3A;ZFP90;PPM1A;IMPACT;SARS1;ELF3;TFDP2;CRY2;CRY1;IRF8;ZNF875;HDAC4;FOXK1;CXXC5;HDAC8;HDAC9;DNAJB1;MUC1;MTA1;WNT11;MXI1;NRIP1;VHL;MTA2;E2F6;ZNF620;MTA3;IGBP1;SPEN;KDM4A;SEMA4D;KCNIP3;ZNF180;TBX6;PML;BCOR;NOP53;TAF3;TRIM33
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	204/684	2.637188e-07	3.717776e-04	0	0	1.559840e+00	2.362906e+01	MYT1L;RBPJ;ELK4;RPS14;SOX3;KAT5;MYC;MYB;SOX9;ZNF282;ZNF281;SOX13;HCFC1;RUNX1;ZFPM2;CGGBP1;ZNF391;CTR9;SUPT4H1;ZBTB1;GATA3;ZBTB5;ZNF25;ZBTB4;ZBTB2;ZBTB7B;ZNF148;RREB1;ZBTB7A;CREBBP;ZNF140;BCL11A;PLK1;IRF2BP2;NR1D2;NR2F2;PARP15;NFATC4;SMARCA4;ID2;ID3;GTF2IRD1;VSX2;ZNF133;RARG;FOXE1;TCF25;OTUD7B;PHF6;GLI3;GLI2;MECP2;SHH;HEY1;EDN1;NCOA5;NOG;SIRT6;PARP9;SIRT1;ZHX1;SREBF2;NCOR2;NCOR1;NFX1;MTF2;RARA;PPARG;JDP2;PPARD;YAP1;NFIX;ZNF3;RXRA;CUX1;NSD1;HSF1;ZNF589;TBL1X;ZNF224;SPDEF;WWOX;CDX2;STAT1;USP9X;STAT3;DAB2IP;ZNF79;GATAD2A;SKI;PER2;PER1;NFIB;WT1;ZNF219;ZNF337;HDGF;GZF1;RIF1;KDM1A;ANKRD33;PRDM6;WWC1;ATN1;YY1;ZFP36;MLIP;MSX2;ZFP69B;ARID5A;KCTD1;FOXP4;HIC1;FOXP1;SAP30;BRMS1;ZNF550;DLX4;MAZ;GLIS3;PSEN1;FOXO3;GLIS2;UBB;BAG3;NACC2;TPR;ZKSCAN3;ZNF669;E4F1;DMAP1;SMAD2;TFAP2A;TFAP2B;TFAP2C;ZFHX3;CBX5;SMAD3;UBE2I;CBX4;VDR;ZBTB16;CAV1;PTCH1;ESR1;NFKB1;BMP6;SMAD7;DRAP1;BMP4;EFNA1;NR4A2;YEATS2;CNOT2;MAFK;MXD1;FGFR2;ZNF891;THRB;CHD8;FHL2;CHD3;NR2E3;FLCN;VPS72;ZNF529;HJV;TRPS1;ZNF764;KLF10;TGIF1;KLF12;DNMT3A;ZFP90;PPM1A;IMPACT;SARS1;CRY2;CRY1;IRF8;ZNF875;HDAC4;CXXC5;HDAC8;HDAC9;DNAJB1;MTA1;MXI1;NRIP1;VHL;MTA2;E2F6;ZNF620;MTA3;IGBP1;SPEN;SEMA4D;KCNIP3;ZNF180;TBX6;BCOR;NOP53;TAF3;TRIM33
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	137/437	1.360733e-06	1.534635e-03	0	0	1.668903e+00	2.254269e+01	TRIO;FAM13B;WWC1;ARHGDIG;EHMT1;ARHGAP39;ARHGAP35;PREX1;STK11;RASSF2;KAT5;OPHN1;AKT1;PIP4K2A;NBN;TCP11;PRKAB2;USP7;SLC15A2;CSNK2A1;DAPK2;ENTPD5;HUS1;OCRL;VRK2;OBSCN;RRAGB;SQSTM1;RHNO1;L3MBTL1;BLM;ARHGEF26;MAPKAP1;GATA4;PRDM11;KALRN;ARHGAP21;PIP5K1A;SRGAP2;SRGAP1;BANP;LYN;NEK8;STARD13;BRPF1;ARHGAP29;ARHGAP26;CRNN;NET1;NFKBIA;TBCK;BCL3;RAD9B;RAD9A;ATR;TP73;PRR5;PPP1R13B;ARHGAP1;PTEN;PRKAG2;HSPB1;CHD4;CHD3;PRKAG3;FLCN;GRM2;PIDD1;SPRED1;TMSB4X;MCF2L;RAC3;VAV3;RFC3;PLEKHG2;TBP;SPHK2;RFC2;PLEKHG5;ARHGEF17;ATP6AP2;ARHGEF18;RHOC;RHOD;VAV1;PJA2;RHOB;VAV2;TMBIM4;TRAF4;TRAF3;ARHGEF4;ARHGEF1;RHOU;RHOV;SGK1;DIPK2A;RNF34;SGMS1;TAF9;XIAP;STYXL1;FGD2;FGD3;GNA13;RBBP4;CHN2;GNA12;RBBP8;PAK6;GPAT3;MTA2;PAK2;PAK4;MBD3;NTRK2;TAF13;NTRK3;TAF11;DAB2IP;RPA2;CASTOR1;MAPK14;PML;HIPK2;MAPK11;TAOK3;CASTOR2;TTC5;DLC1;F2RL1;RAD1;TAF6;TAF5;NOP53;TAF3;TAF2
GO_Biological_Process_2021	axon guidance (GO:0007411)	73/203	2.140410e-06	2.011628e-03	0	0	2.043753e+00	2.668020e+01	RET;SEMA5A;CYFIP1;NRP1;SEMA5B;PLXND1;PIK3CD;LAMC2;PIK3CB;ARHGAP35;GLI2;ROBO1;SHH;ALCAM;OPHN1;KIF5B;BSG;DAG1;NPTN;EPHB4;EPHB3;EPHA4;EPHA7;EPHA6;UNC5A;DSCAM;GAB1;VSTM2L;FRS2;GFRA2;SPTB;DOK1;DOK5;EVL;EPHA2;NOTCH2;SPTBN4;LAMA5;SHC3;SEMA3C;SEMA3D;SRC;LRTM2;SEMA3B;NRXN3;CXCR4;PIK3R1;SEMA3F;EFNA5;NTN1;IGSF9;RAP1GAP;PLXNA2;PLXNA1;SLIT3;PLCG1;PLXNA4;SPTBN2;VASP;NIBAN2;SEMA4D;SEMA4B;RANBP9;PTPN11;SEMA4G;L1CAM;PTK2;EFNA1;EFNA3;NFIB;PLXNB2;GRB2;LGR6
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	121/381	2.723313e-06	2.193823e-03	0	0	1.698726e+00	2.176689e+01	ANKLE2;ARL6IP1;TFRC;SCX;PARK7;UBE2Z;IGF1R;RPS6KA3;AKT2;MYC;PIM1;AKT1;PIM3;SOX9;PRKCI;WDR73;ATAD3A;PRLR;PPIF;YME1L1;DPEP1;VDAC1;PHIP;RAF1;SQSTM1;NOTCH2;HPN;PIK3R1;PSEN1;VTCN1;HSP90B1;SOCS2;NUAK2;GRK5;IRAK1;UBB;BAG3;NTSR1;TFAP2A;TFAP2B;NIBAN2;CBX4;API5;SIAH2;RHBDD1;PLK1;ASNS;AZU1;PA2G4;SMAD6;PTK2;NFKB1;KLHL20;TNFRSF10D;SETX;BMP4;NFKBIA;GCLC;PROC;BCL3;PPT1;BCL2L2;BCL2L1;FANK1;ARF4;FHL2;HSPB1;SH3RF1;RNF157;PIDD1;DSTYK;SHH;MECOM;CTSH;ERC1;RIPK2;ANXA4;SPHK1;ANXA5;NME2;RPS3A;SIRT1;MMP9;YWHAZ;PAX2;TMBIM4;PAX7;NAA38;TMBIM6;ANGPTL4;GAS6;MET;SRC;GSTP1;TAF9;XIAP;THBS1;HSPD1;MAPK8;WNT11;BNIP1;FLNA;PTK2B;VHL;PAK2;NPM1;TIGAR;SEMA4D;MGMT;CFLAR;HIPK3;TJP1;ITCH;GOLPH3;KRT18;AXL;WT1;CTNNB1;ERCC5;NAA16;MAD2L1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	154/511	3.989206e-06	2.528633e-03	0	0	1.576993e+00	1.960505e+01	CD86;EHF;SCX;MYRFL;KAT5;ZMIZ1;CDH1;MYC;CREB3L2;MYB;ZXDC;AKT1;SOX9;BTRC;CDK5RAP2;ACVR1;MAP2K2;ZNF281;DYRK1B;HCFC1;RUNX1;LBHD1;ILF3;NIF3L1;KAT6B;ZNF318;TFAM;PHIP;ZNF711;CLOCK;SKAP1;KMT2E;BLM;CASZ1;KMT2A;KMT2B;MAZ;GATA4;CREBL2;GATA3;PSEN1;PRDM11;FOXO3;HIF1A;NPAS2;GLIS2;NPAS3;SEC14L2;RAI1;ZKSCAN3;HIVEP3;APOE;TP53BP1;RREB1;SMAD2;TFAP2A;NFE2;TFAP2B;AFAP1L2;CREBBP;ZFHX3;FZD2;BRPF1;NIBAN2;SMAD3;ZBTB16;SS18L1;NFATC2;TRIP4;NR1D2;ESRRG;NR2F2;SMARCA1;TRERF1;BMP7;ESR1;NFKB1;SMARCA4;BMP4;LHX3;ID2;BCL3;RNF187;TP73;FANK1;RET;CALCOCO1;FOXE1;CHD8;SIX1;RSF1;MED16;GLI3;GLI2;LYL1;MED14;SHH;HEY1;MECOM;SFR1;ZIC3;SPIN1;TEAD1;CEP290;MYBL1;TEAD2;PRMT2;NME2;AXIN1;FOS;PARP9;ARID1A;PAX2;ZFP90;SUPT3H;DNM2;DNAJC2;PPM1A;ELF4;RARA;PPARG;PLCB1;PPARD;HDAC4;YAP1;KDM3A;KARS1;LRP5;FOXK1;MLLT3;LRP6;CAND2;SERTAD3;RXRA;WNT11;ERBB4;NSD1;TBL1X;VHL;TBX1;NPM1;STAT1;USP22;ATAD2;STAT3;TBX5;PML;HIPK2;KLF6;RYBP;NFIB;WT1;CTNNB1;NAA16
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	253/908	4.349557e-06	2.528633e-03	0	0	1.418112e+00	1.750721e+01	ATF1;APP;EHF;GABPB2;SCX;CCNC;RBPJ;ABRA;DCAF6;ELK4;RPS6KA3;SOX3;ZNF609;KAT5;ZMIZ1;MYC;ZMIZ2;ZC3H12A;MYB;DPF3;SOX9;IER5;ACVR1;MRTFB;HCFC1;RUNX1;SUB1;HOXB3;ZFPM2;CLOCK;SKAP1;CASZ1;SUPT4H1;PRDM15;GATA4;GATA3;PIK3R1;HIF1A;DHX36;FADD;TP53BP1;RREB1;ZBED4;CREBBP;JAG1;JUP;SS18L1;MICAL2;NR1D2;NR2F2;INO80;SMARCA1;TRERF1;PBX1;ELL3;ST18;SMARCA4;FOSL2;SETX;MLLT10;CREBRF;TP73;ARF4;CSRNP2;RARG;HNF4G;TCF20;RSF1;MED16;LITAF;GLI3;GLI2;MED14;SHH;HEY1;HYAL2;TEAD1;SS18;NCOA2;SREBF1;EDN1;RIPK2;NCOA3;TCF12;NME2;FOS;SIRT1;SREBF2;PAX2;RGMA;NR5A1;KAT2B;PLSCR1;TOX2;GAL;MED21;MTF2;TET3;RARA;PPARG;NCOA7;MPND;PPARD;YAP1;ASCL5;NFIX;WAS;RXRA;EPCAM;HSF1;LEO1;TBL1X;MEF2D;RTRAF;WWOX;NPM1;CDX2;STAT1;ATAD2;STAT3;DAB2IP;ZNF76;GRHL3;GRHL2;GRIN1;HIPK2;SKI;PER1;STING1;WT1;NFIB;CTNNB1;F2RL1;AGRN;ZNF335;FOXA1;CCNT2;PLXND1;KDM1A;CRTC1;FHOD1;WWC1;PARK7;YY1;CHCHD2;POGZ;NFATC2IP;PITX2;MLIP;GTF2F1;NPAS4;LMX1A;KAT6B;PHIP;LMX1B;SQSTM1;GLYR1;KMT2D;AKNA;KMT2A;GLIS3;FOXO3;NPAS2;GLIS2;SLC9A1;SBNO2;UBB;ABL1;DVL2;E4F1;RPRD1B;GCN1;TFAP2A;SMAD2;TFAP2B;AKIRIN2;TFAP2C;ZFHX3;TGFB2;SMAD3;AUTS2;VDR;POU2F2;ESR1;NFKB1;BMP6;NFKB2;BMP5;SMAD7;DRAP1;BMP4;CDK9;NFKBIA;NR4A2;NR4A1;LHX3;ZFP64;RFXAP;BMPR1B;OGT;FGFR2;NFE2L2;CALCOCO1;BMPR2;THRB;CHD8;AKAP8L;SIX1;ARRB1;NR2E3;FLCN;DBP;ZIC3;HJV;GPER1;MYBL1;PELP1;KLF10;BCAS3;PPP1R12A;ARNT;VEZF1;KLF15;ELF3;TFDP2;ELF4;IRF8;MET;HDAC4;NFAT5;SMARCD2;NUFIP1;TAF9;LRP5;HDAC8;LRP6;MUC1;NRIP1;TBX1;MLXIP;FOXJ3;TBX5;APLN;ASXL1;KLF6;MEIS1;KLF5;KANSL3;TAF6;SSBP2;PFKM;LPIN2;LPIN3
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	147/485	4.668935e-06	2.528633e-03	0	0	1.589246e+00	1.950733e+01	ANKLE2;TFRC;ARL6IP1;SCX;PARK7;UBE2Z;IGF1R;FOXQ1;NRBP2;RPS6KA3;MAEA;AKT2;MYC;ZC3H12A;PIM1;AKT1;PIM3;SOX9;PRKCG;PRKCI;PRKCH;TLE1;CSNK2A1;WDR73;ATAD3A;PRLR;PPIF;YME1L1;DPEP1;PHIP;VDAC1;RAF1;SQSTM1;NOTCH2;HPN;MAZ;GATA4;VTCN1;PIK3R1;PSEN1;HSP90B1;SOCS2;RNF213;NUAK2;GRK5;IRAK1;UBB;BAG3;APOE;NTSR1;TFAP2A;TFAP2B;NIBAN2;CBX4;API5;SIAH2;CAV1;RHBDD1;PLK1;ASNS;AZU1;PA2G4;SMAD6;NFKB1;PTK2;NFATC4;TNFRSF10D;KLHL20;SETX;BMP4;NFKBIA;NR4A2;GCLC;PROC;BCL3;PPT1;RETREG1;BCL2L2;LGMN;BCL2L1;FANK1;ITGB1;ARF4;FHL2;HSPB1;SIX1;SH3RF1;RNF157;PIDD1;DSTYK;SHH;CTSH;ERC1;GPX1;RIPK2;ANXA4;SPHK1;ANXA5;NME2;VSTM2L;RPS3A;SIRT1;MMP9;YWHAZ;PAX2;TMBIM4;PAX7;TMBIM6;NAA38;ANGPTL4;GAS6;YAP1;SRC;GSTP1;TAF9;XIAP;THBS1;HSPD1;MAPK8;WNT11;DNAJB6;ERBB3;BNIP1;FLNA;PTK2B;VHL;PAK2;TBX1;IGBP1;NTRK2;NPM1;SEMA4D;MGMT;CFLAR;MERTK;HIPK3;TJP1;ITCH;GOLPH3;KRT18;WT1;AXL;CLCF1;CTNNB1;ERCC5;NAA16;MAD2L1
GO_Biological_Process_2021	histone modification (GO:0016570)	46/114	5.138475e-06	2.528633e-03	0	0	2.456341e+00	2.991518e+01	HDAC4;TRRAP;MIDEAS;HDAC11;EHMT1;BAZ2A;PARK7;HDAC9;MTA1;KAT5;ATXN7;NTMT1;NSD1;RUVBL1;TBL1X;MTA2;MTA3;NAA50;PRMT6;KDM4A;CREBBP;PRMT7;UBE2B;PRMT2;EYA2;USP22;HUWE1;BAZ1B;TRERF1;SIRT1;SUPT3H;CCNA2;PHF20L1;MORF4L1;BRMS1;MRGBP;KAT6B;INCENP;CARM1;UBE2N;TAF6;PADI4;RCOR3;PADI1;RCOR1;NEK11
GO_Biological_Process_2021	regulation of cellular response to heat (GO:1900034)	35/79	5.872296e-06	2.528633e-03	0	0	2.885440e+00	3.475589e+01	CAMK2B;NUP205;HSP90AB1;NUP107;NUP188;HSPB8;AAAS;NUP160;RPTOR;DNAJB1;DNAJB6;BAG3;HSF1;TPR;IER5;CAMK2G;RAE1;NUP214;RANBP2;HSPA8;HSP90AA1;SEC13;CREBBP;NUP210;NUP155;PTGES3;RPA2;SIRT1;DNAJC2;AKT1S1;MAPKAPK2;NUP54;FKBP4;NUP58;ATR
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	92/278	6.635463e-06	2.528633e-03	0	0	1.801744e+00	2.148234e+01	DYNC2I2;ITGB1;CYFIP1;DYNC2I1;ARF4;NRP1;TRAF3IP1;CEP19;PTPDC1;MYLK;CDC14B;PPP1R9B;NUDCD3;PCM1;OPHN1;CNGA2;TRAPPC14;TEKT5;VSTM5;CEP290;SNAP29;IFT140;DNAAF1;ARMC9;ANO6;EMP2;OCRL;EMP3;DYNLL1;RHOD;MTSS1;LZTFL1;CD2AP;RAP2C;SHTN1;CFAP221;RAP2B;RILPL2;TMEM216;SPATA13;KIT;EXOC4;ARHGEF4;RAPGEF2;EXOC5;CEP20;SSX2IP;EXOC2;CILK1;ARF6;FBF1;DYNLT2B;ASAP1;NTN1;FGD2;FGD3;IFT74;FGD5;ABLIM1;ABLIM2;ABLIM3;RHO;PIP5K1A;FLNA;POC1B;SRGAP2;RAB11FIP3;ATP6V1D;CFAP20;BBS2;PLK4;CARMIL1;CCDC57;DCDC2;IFT122;PARVA;AIF1L;WDR11;EHD1;P2RX7;CCDC88A;TTC8;GOLPH3;EHD4;TMEM237;KIAA0586;CENPJ;HYLS1;CEP162;B9D1;FXYD5;CLUAP1
GO_Biological_Process_2021	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	31/67	6.647815e-06	2.528633e-03	0	0	3.122302e+00	3.722166e+01	CYFIP1;NRP1;FLT1;ROCK1;SRC;NCF4;BRK1;HSPB1;PIK3CB;PIK3R1;SHB;PTK2B;PAK2;VAV3;HSP90AA1;DAB2IP;VEGFB;BAIAP2;MAPK14;SULF1;PGF;VAV1;PTK2;VAV2;MAPK11;MAPKAPK3;AXL;MAPKAPK2;ELMO2;DOCK1;BCAR1
GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	49/125	6.726281e-06	2.528633e-03	0	0	2.341547e+00	2.788663e+01	APP;NRP1;ANKLE2;NUP107;NUP188;MCM7;HSPB1;PRKAG2;FLCN;NUP214;SEC13;DSCAM;NUP210;EMP2;DYNLL1;SIRT1;EREG;PHIP;NUP54;NUP58;NUP205;ROCK1;PRKRIP1;PSEN1;AAAS;HIF1A;THBS1;NUP160;CORO1C;SOCS1;KCTD20;TPR;ZBTB7A;RAE1;LYN;RANBP2;NUP155;PTGES3;BMP7;PTK2;PML;BMP4;CCDC88A;EIF6;CCDC88C;PLXNB2;INHA;OGT;NOP53
